Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1097210  Y 1072693
X 1088210  Y 1072693
X 1091210  Y 1072693
X 1094210  Y 1072693
X 1078910  Y 1069193
X 1097210  Y 1069193
X 1083510  Y 1067393
X 1086210  Y 1067193
X 1078710  Y 1066593
X 1097210  Y 1066193
X 1086210  Y 1064693
X 1097210  Y 1063193
X 1086210  Y 1062193
X 1089210  Y 1059693
X 1094710  Y 1059693
X 1086210  Y 1059693
X 1091710  Y 1059693
X 1097210  Y 1059693
X 1078459  Y 1057293
X 1086200  Y 1056100
X 1093909  Y 1049834
X 1079379  Y 1048371
X 1088252  Y 1044177
X 1099566  Y 1044177
X 1085000  Y 1043167
X 1093909  Y 1038521
X 1082595  Y 1038521
X 1088252  Y 1032864
X 1099566  Y 1021550
X 1082595  Y 1015893
X 1093909  Y 1015893
X 1099566  Y 1010236
X 1088252  Y 1010236
X 1082595  Y 1004579
X 1093909  Y 1004579
X 1105223  Y 1004579
X 1105223  Y 1015893
X 1123608  Y 1016228
X 1105223  Y 1027207
X 1123608  Y 1030370
X 1106900  Y 1031700
X 1120300  Y 1031700
X 1123608  Y 1044512
X 1105223  Y 1049834
X 1104900  Y 1064100
X 1124100  Y 1074200
X 1119600  Y 1075500
X 1124100  Y 1077800
X 1105000  Y 1079400
X 1119500  Y 1079500
X 1124000  Y 1081400
X 1106459  Y 1094493
X 1120400  Y 1100951
X 1124600  Y 1100966
X 1123608  Y 1115223
X 1126100  Y 1118899
X 1109169  Y 1120696
X 1114327  Y 1123927
X 1109466  Y 1129365
X 1123608  Y 1129365
X 1115700  Y 1129700
X 1123800  Y 1133100
X 1110973  Y 1136600
X 1119400  Y 1140100
X 1109466  Y 1143507
X 1119603  Y 1152457
X 1127510  Y 1152459
X 1115830  Y 1166700
X 1118468  Y 1171330
X 1123608  Y 1171791
X 1115100  Y 1173900
X 1121000  Y 1179700
X 1118100  Y 1179800
X 1115110  Y 1179859
X 1103510  Y 1183459
X 1124104  Y 1184466
X 1115874  Y 1184514
X 1123000  Y 1189700
X 1116700  Y 1192600
X 1115200  Y 1197000
X 1115400  Y 1199400
X 1118100  Y 1199500
X 1120900  Y 1199500
X 1116537  Y 1207146
X 1109466  Y 1214218
X 1123608  Y 1214218
X 1116537  Y 1221289
X 1109466  Y 1228360
X 1123608  Y 1228360
X 1116537  Y 1235431
X 1127000  Y 1236900
X 1126900  Y 1246500
X 1112781  Y 1251230
X 1126900  Y 1256300
X 1123608  Y 1256644
X 1109466  Y 1256644
X 1104600  Y 1264100
X 1107400  Y 1264100
X 1126167  Y 1265200
X 1127505  Y 1270084
X 1107771  Y 1270117
X 1113202  Y 1272327
X 1124814  Y 1273237
X 1113600  Y 1282200
X 1109466  Y 1284928
X 1125706  Y 1286303
X 1114918  Y 1296252
X 1124619  Y 1301855
X 1109598  Y 1301879
X 1126283  Y 1307601
X 1107381  Y 1311019
X 1125770  Y 1314503
X 1119036  Y 1322631
X 1111610  Y 1330559
X 1124400  Y 1331400
X 1111610  Y 1333359
X 1111610  Y 1336559
X 1109466  Y 1341497
X 1127810  Y 1348593
X 1110110  Y 1349159
X 1103883  Y 1353408
X 1109361  Y 1356608
X 1119601  Y 1360028
X 1116537  Y 1362710
X 1123608  Y 1369781
X 1109466  Y 1369781
X 1116537  Y 1376852
X 1109466  Y 1383923
X 1125000  Y 1388965
X 1122000  Y 1388966
X 1125800  Y 1392500
X 1122300  Y 1393614
X 1109466  Y 1398065
X 1122400  Y 1398371
X 1125800  Y 1399900
X 1122400  Y 1403127
X 1125859  Y 1405393
X 1122400  Y 1409172
X 1109466  Y 1412207
X 1122300  Y 1414474
X 1125859  Y 1416593
X 1122400  Y 1419627
X 1109466  Y 1426350
X 1122500  Y 1428149
X 1122400  Y 1435334
X 1109466  Y 1440492
X 1122300  Y 1442518
X 1122200  Y 1449703
X 1109466  Y 1454634
X 1122200  Y 1456838
X 1122200  Y 1463973
X 1109466  Y 1468776
X 1122700  Y 1468829
X 1116537  Y 1475847
X 1104800  Y 1482300
X 1116700  Y 1491600
X 1112300  Y 1498100
X 1128200  Y 1508400
X 1120900  Y 1509000
X 1109466  Y 1511202
X 1120300  Y 1519400
X 1109466  Y 1525345
X 1119400  Y 1528500
X 1120600  Y 1535200
X 1109466  Y 1539487
X 1119300  Y 1542400
X 1137800  Y 1542600
X 1144300  Y 1541407
X 1129800  Y 1537100
